0,21.21,0.07854
0.1,20.48,0.08299
0.2,19.79,0.08699
0.3,19.16,0.09054
0.4,18.56,0.0936
0.5,18,0.09618
0.6,17.47,0.09826
0.7,16.96,0.09984
0.8,16.48,0.1009
0.9,16,0.1015
1,15.54,0.1016
1.1,15.09,0.1012
1.2,14.64,0.1003
1.3,14.19,0.09897
1.4,13.75,0.0972
1.5,13.3,0.09502
1.6,12.85,0.09244
1.7,12.41,0.08949
1.8,11.96,0.08619
1.9,11.51,0.08256
2,11.06,0.07864
2.1,10.62,0.07444
2.2,10.18,0.06998
2.3,9.743,0.0653
2.4,9.315,0.0604
2.5,8.896,0.0553
2.6,8.486,0.05003
2.7,8.089,0.04458
2.8,7.705,0.03898
2.9,7.335,0.03323
3,6.98,0.02734
3.1,6.642,0.0213
3.2,6.32,0.01513
3.3,6.015,0.008832
3.4,5.728,0.002394
3.5,5.458,-0.004179
3.6,5.206,-0.01089
3.7,4.971,-0.01774
3.8,4.753,-0.02472
3.9,4.551,-0.03184
4,4.367,-0.0391
4.1,4.198,-0.0465
4.2,4.045,-0.05403
4.3,3.906,-0.06168
4.4,3.783,-0.06945
4.5,3.674,-0.07733
4.6,3.578,-0.0853
4.7,3.496,-0.09335
4.8,3.427,-0.1015
4.9,3.371,-0.1096
5,3.326,-0.1178
5.1,3.294,-0.126
5.2,3.273,-0.1341
5.3,3.263,-0.1422
5.4,3.264,-0.1502
5.5,3.276,-0.1581
5.6,3.299,-0.1659
5.7,3.331,-0.1735
5.8,3.373,-0.1809
5.9,3.426,-0.1881
6,3.487,-0.1951
6.1,3.558,-0.2017
6.2,3.638,-0.2081
6.3,3.726,-0.2142
6.4,3.823,-0.2199
6.5,3.928,-0.2252
6.6,4.041,-0.2302
6.7,4.161,-0.2347
6.8,4.287,-0.2388
6.9,4.42,-0.2424
7,4.559,-0.2455
7.1,4.702,-0.2481
7.2,4.849,-0.2502
7.3,5,-0.2517
7.4,5.152,-0.2526
7.5,5.304,-0.2529
7.6,5.455,-0.2526
7.7,5.603,-0.2516
7.8,5.747,-0.25
7.9,5.883,-0.2477
8,6.01,-0.2448
8.1,6.125,-0.2411
8.2,6.226,-0.2368
8.3,6.31,-0.2318
8.4,6.375,-0.2262
8.5,6.419,-0.2199
8.6,6.439,-0.213
8.7,6.435,-0.2054
8.8,6.405,-0.1973
8.9,6.35,-0.1887
9,6.271,-0.1795
9.1,6.168,-0.1699
9.2,6.044,-0.1599
9.3,5.902,-0.1494
9.4,5.746,-0.1386
9.5,5.578,-0.1274
9.6,5.402,-0.1159
9.7,5.223,-0.1042
9.8,5.044,-0.09214
9.9,4.868,-0.07984
10,4.699,-0.0673
10.1,4.538,-0.05452
10.2,4.388,-0.04151
10.3,4.251,-0.02829
10.4,4.128,-0.01485
10.5,4.02,-0.001217
10.6,3.928,0.0126
10.7,3.853,0.0266
10.8,3.795,0.04075
10.9,3.754,0.05504
11,3.731,0.06944
11.1,3.725,0.08393
11.2,3.737,0.09849
11.3,3.767,0.1131
11.4,3.815,0.1277
11.5,3.88,0.1423
11.6,3.962,0.1569
11.7,4.062,0.1714
11.8,4.18,0.1858
11.9,4.313,0.2001
12,4.463,0.2143
12.1,4.628,0.2284
